Frame:140 FPS:18.9691 iou:0.548376
Frame:141 FPS:29.6827 iou:0.646066
Frame:142 FPS:30.1748 iou:0.669348
Frame:143 FPS:30.2082 iou:0.615622
Frame:144 FPS:30.1747 iou:0.63475
Frame:145 FPS:19.2185 iou:0.609298
Frame:146 FPS:19.4896 iou:0.630523
Frame:147 FPS:20.7951 iou:0.599561
Frame:148 FPS:21.4819 iou:0.650104
Frame:149 FPS:20.8084 iou:0.622068
Frame:150 FPS:20.91 iou:0.65405
Frame:151 FPS:19.5817 iou:0.626605
Frame:152 FPS:20.4545 iou:0.605732
Frame:153 FPS:30.2489 iou:0.587639
Frame:154 FPS:31.3643 iou:0.588831
Frame:155 FPS:30.9928 iou:0.516484
Frame:156 FPS:30.4936 iou:0.564364
Frame:157 FPS:19.0512 iou:0.593215
Frame:158 FPS:19.1352 iou:0.573913
Frame:159 FPS:29.0282 iou:0.608132
Frame:160 FPS:31.1546 iou:0.567842
Frame:161 FPS:29.0567 iou:0.600896
Frame:162 FPS:29.9086 iou:0.616991
Frame:163 FPS:18.6951 iou:0.599584
Frame:164 FPS:19.1609 iou:0.56448
Frame:165 FPS:30.072 iou:0.596426
Frame:166 FPS:30.4462 iou:0.62967
Frame:167 FPS:30.9916 iou:0.606654
Frame:168 FPS:29.9516 iou:0.638063
Frame:169 FPS:19.4068 iou:0.605438
Frame:170 FPS:23.0049 iou:0.684954
Frame:171 FPS:30.3754 iou:0.606738
Frame:172 FPS:31.3366 iou:0.642501
Frame:173 FPS:30.36 iou:0.612943
Frame:174 FPS:30.7441 iou:0.625064
Frame:175 FPS:19.3608 iou:0.597897
Frame:176 FPS:18.9662 iou:0.67719
Frame:177 FPS:30.7567 iou:0.608012
Frame:178 FPS:30.3753 iou:0.653039
Frame:179 FPS:31.5863 iou:0.618572
Frame:180 FPS:30.7845 iou:0.635221
Frame:181 FPS:19.5035 iou:0.674651
Frame:182 FPS:18.9765 iou:0.640066
Frame:183 FPS:31.1674 iou:0.657389
Frame:184 FPS:30.4973 iou:0.616241
Frame:185 FPS:30.6011 iou:0.678154
Frame:186 FPS:30.6317 iou:0.646441
Frame:187 FPS:19.2973 iou:0.655963
Frame:188 FPS:19.0233 iou:0.61661
Frame:189 FPS:31.1485 iou:0.627251
Frame:190 FPS:31.5023 iou:0.640329
Frame:191 FPS:30.5822 iou:0.643931
Frame:192 FPS:31.2113 iou:0.645949
Frame:193 FPS:19.2417 iou:0.642804
Frame:194 FPS:19.0605 iou:0.576271
Frame:195 FPS:31.3775 iou:0.612295
Frame:196 FPS:30.8905 iou:0.681163
Frame:197 FPS:31.2811 iou:0.658897
Frame:198 FPS:30.6827 iou:0.686066
Frame:199 FPS:19.2075 iou:0.702053
Frame:200 FPS:18.9173 iou:0.620226
Frame:201 FPS:29.5492 iou:0.640243
Frame:202 FPS:31.3944 iou:0.656244
Frame:203 FPS:31.2783 iou:0.636615
Frame:204 FPS:30.7809 iou:0.643432
Frame:205 FPS:28.7409 iou:0.648262
Frame:206 FPS:28.537 iou:0.64153
Frame:207 FPS:28.4661 iou:0.659986
Frame:208 FPS:30.9489 iou:0.673806
Frame:209 FPS:30.6446 iou:0.660425
Frame:210 FPS:29.7125 iou:0.678897
Frame:211 FPS:19.2835 iou:0.644823
Frame:212 FPS:18.8826 iou:0.713683
Frame:213 FPS:31.2908 iou:0.649991
Frame:214 FPS:32.0298 iou:0.67703
Frame:215 FPS:30.2094 iou:0.711162
Frame:216 FPS:30.8458 iou:0.718228
Frame:217 FPS:19.2244 iou:0.721453
Frame:218 FPS:18.7611 iou:0.709323
Frame:219 FPS:30.4786 iou:0.752798
Frame:220 FPS:30.5078 iou:0.709106
Frame:221 FPS:31.4085 iou:0.702987
Frame:222 FPS:30.4324 iou:0.663026
Frame:223 FPS:19.3397 iou:0.651077
Frame:224 FPS:19.0089 iou:0.651337
Frame:225 FPS:30.5617 iou:0.657023
Frame:226 FPS:30.6434 iou:0.628754
Frame:227 FPS:31.4086 iou:0.726841
Frame:228 FPS:30.4652 iou:0.704606
Frame:229 FPS:19.4368 iou:0.696159
Frame:230 FPS:20.5503 iou:0.746613
Frame:231 FPS:21.0528 iou:0.685979
Frame:232 FPS:21.4424 iou:0.659801
Frame:233 FPS:20.9141 iou:0.698357
Frame:234 FPS:20.8849 iou:0.681564
Frame:235 FPS:19.4983 iou:0.72582
Frame:236 FPS:20.6887 iou:0.681533
Frame:237 FPS:21.0282 iou:0.710422
Frame:238 FPS:21.3913 iou:0.717734
Frame:239 FPS:20.8812 iou:0.719247
Frame:240 FPS:29.7487 iou:0.752798
Frame:241 FPS:18.7716 iou:0.724002
Frame:242 FPS:18.9937 iou:0.751619
Frame:243 FPS:30.5323 iou:0.726157
Frame:244 FPS:30.8005 iou:0.722689
Frame:245 FPS:30.335 iou:0.721155
Frame:246 FPS:30.0403 iou:0.689573
Frame:247 FPS:19.0325 iou:0.688791
Frame:248 FPS:19.0848 iou:0.692805
Frame:249 FPS:30.4107 iou:0.657217
Frame:250 FPS:29.9059 iou:0.704776
Frame:251 FPS:30.1954 iou:0.664345
Frame:252 FPS:30.0835 iou:0.662299
Frame:253 FPS:19.4898 iou:0.720443
Frame:254 FPS:20.4792 iou:0.690899
Frame:255 FPS:22.1961 iou:0.734304
Frame:256 FPS:31.907 iou:0.660838
Frame:257 FPS:30.3678 iou:0.637629
Frame:258 FPS:30.0661 iou:0.61258
Frame:259 FPS:18.7649 iou:0.599343
Frame:260 FPS:19.7849 iou:0.668813
Frame:261 FPS:20.9052 iou:0.684298
Frame:262 FPS:21.249 iou:0.730173
Frame:263 FPS:20.9557 iou:0.693793
Frame:264 FPS:25.024 iou:0.720419
Frame:265 FPS:18.8158 iou:0.696215
Frame:266 FPS:19.1352 iou:0.702325
Frame:267 FPS:30.8963 iou:0.675976
Frame:268 FPS:31.3529 iou:0.708221
Frame:269 FPS:29.205 iou:0.69451
Frame:270 FPS:30.8747 iou:0.711106
Frame:271 FPS:18.6876 iou:0.651986
Frame:272 FPS:19.039 iou:0.685177
Frame:273 FPS:30.4832 iou:0.704695
Frame:274 FPS:30.4285 iou:0.721267
